SortIt,ImageNo,ImageName,folder,Site,SiteNo,Side,SideNo,Date,Time,LFC,LFCC,DF,Pelicans,Grebes,Cormorant,Percent.Obstructed,Exposure,Image.Clarity,Water.Clarity,Month,Day,Year,Time,Date.Time,Discharge.cms,Velocity.m.s,Argo.Depth.m,Logger.Depth.m,Logger.Temp.C,DucksUnlimited.Temp,Camera.Height.cm,width.m,height.m,Area.m.sq,Correction.factor,LFCCR
1230,1852,IMG_1275,100RECNX,Waterhen,1,Lake,1,28/05/2014,17:30:00,48,48,0,0,0,0,0,2,1,2,28,5,2014,17:30:00,28/05/2014 17:30,1.856,0.09,2.94,1.066,17.02,17.3,3.100867,2.397993477,1.79850286,4.312798127,1.0193,49
1231,1853,IMG_1276,100RECNX,Waterhen,1,Lake,1,28/05/2014,17:45:00,42,42,0,0,0,0,0,2,1,2,28,5,2014,17:45:00,28/05/2014 17:45,1.531,0.073,2.942,1.067,17.057,17.4,3.0989431,2.396505668,1.797386998,4.307448127,1.0206,43
1232,1854,IMG_1277,100RECNX,Waterhen,1,Lake,1,28/05/2014,18:00:00,32,32,0,0,0,0,0,2,1,2,28,5,2014,18:00:00,28/05/2014 18:00,2.182,0.063,2.941,1.069,17.1,17.4,3.09990505,2.397249572,1.797944929,4.310122712,1.02,33
1233,1855,IMG_1278,100RECNX,Waterhen,1,Lake,1,28/05/2014,18:15:00,24,24,0,0,0,0,0,2,1,2,28,5,2014,18:15:00,28/05/2014 18:15,3.422,0.049,2.938,1.07,17.135,17.4,3.1027909,2.399481287,1.799618722,4.318151447,1.0181,24
1234,1856,IMG_1279,100RECNX,Waterhen,1,Lake,1,28/05/2014,18:30:00,22,22,0,0,0,0,0,2,1,2,28,5,2014,18:30:00,28/05/2014 18:30,4.447,0.052,2.939,1.071,17.217,17.5,3.10182895,2.398737382,1.799060791,4.315474372,1.0187,22
1235,1857,IMG_1280,100RECNX,Waterhen,1,Lake,1,28/05/2014,18:45:00,22,22,0,0,0,0,0,2,1,3,28,5,2014,18:45:00,28/05/2014 18:45,4.794,0.046,2.938,1.071,17.282,17.5,3.1027909,2.399481287,1.799618722,4.318151447,1.0181,22
1236,1858,IMG_1281,100RECNX,Waterhen,1,Lake,1,28/05/2014,19:00:00,11,11,0,0,0,0,0,2,1,3,28,5,2014,19:00:00,28/05/2014 19:00,4.954,0.058,2.941,1.071,17.347,17.6,3.09990505,2.397249572,1.797944929,4.310122712,1.02,11
1237,1859,IMG_1282,100RECNX,Waterhen,1,Lake,1,28/05/2014,19:15:00,18,18,0,0,0,0,0,2,1,2,28,5,2014,19:15:00,28/05/2014 19:15,4.865,0.081,2.939,1.071,17.394,17.6,3.10182895,2.398737382,1.799060791,4.315474372,1.0187,18
1238,1860,IMG_1283,100RECNX,Waterhen,1,Lake,1,28/05/2014,19:30:00,26,26,0,0,0,0,0,2,1,2,28,5,2014,19:30:00,28/05/2014 19:30,4.396,0.1,2.939,1.069,17.429,17.7,3.10182895,2.398737382,1.799060791,4.315474372,1.0187,26
1239,1861,IMG_1284,100RECNX,Waterhen,1,Lake,1,28/05/2014,19:45:00,23,23,0,0,0,0,0,2,1,2,28,5,2014,19:45:00,28/05/2014 19:45,4.404,0.107,2.938,1.068,17.471,17.7,3.1027909,2.399481287,1.799618722,4.318151447,1.0181,23
